record_id,reference_doi,solid_name,liquid_name,contact_angle_deg,solid_surface_energy_source_type,sfe_fitting_liquids,target_liquid_used_in_sfe_fit,loo_sfe_feasible,loo_available_liquids,risk_level,recommended_action,notes,loo_sfe_total_mJ_m2,loo_sfe_dispersion_mJ_m2,loo_sfe_polar_mJ_m2,all_liquid_fit_total_mJ_m2,all_liquid_fit_dispersion_mJ_m2,all_liquid_fit_polar_mJ_m2
CA0489,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 2",diiodomethane,116,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,1.01,0.95,0.05,4.21,3.87,0.35
CA0490,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 5",water,135,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,24.94,12.13,12.81,5.41,5.23,0.19
CA0491,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 5",formamide,142,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,7.79,7.69,0.1,5.41,5.23,0.19
CA0492,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 5",diiodomethane,105,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,2.45,0.01,2.44,5.41,5.23,0.19
CA0493,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 0",water,156,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,0.64,0.64,0,0.75,0.74,0.01
CA0494,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 0",formamide,145,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,0.71,0.7,0.01,0.75,0.74,0.01
CA0495,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 0",diiodomethane,141,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,1,0.96,0.04,0.75,0.74,0.01
CA0496,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 1",water,153,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,2.15,1.45,0.7,0.92,0.9,0.02
CA0497,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 1",formamide,150,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,1.13,1.11,0.02,0.92,0.9,0.02
CA0498,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 1",diiodomethane,136,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,0.26,0.19,0.07,0.92,0.9,0.02
CA0499,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 2",water,147,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,1.57,1.43,0.14,1.04,1.04,0.01
CA0500,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 2",formamide,143,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,1.2,1.19,0.01,1.04,1.04,0.01
CA0501,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 2",diiodomethane,134,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,0.59,0.44,0.15,1.04,1.04,0.01
CA0502,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 5",water,145,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,19.64,11.14,8.5,8.02,6.92,1.11
CA0503,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 5",formamide,136,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,9.49,8.51,0.97,8.02,6.92,1.11
CA0504,10.3390/coatings13050928,"L3-C coated laser-textured CFRP, cleaning step 5",diiodomethane,105,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,1.49,1.47,0.02,8.02,6.92,1.11
CA0505,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 0",water,155,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,1.75,0.92,0.83,2.09,2,0.08
CA0506,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 0",formamide,131,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,1.62,1.52,0.11,2.09,2,0.08
CA0507,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 0",diiodomethane,133,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,6.49,5.4,1.09,2.09,2,0.08
CA0508,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 1",water,149,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,1.43,1.23,0.19,1.69,1.69,0
CA0509,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 1",formamide,134,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,1.5,1.49,0.01,1.69,1.69,0
CA0510,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 1",diiodomethane,132,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,2.93,2.8,0.13,1.69,1.69,0
CA0511,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 2",water,148,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,2.14,1.51,0.64,2.52,2.5,0.02
CA0512,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 2",formamide,128,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,2.09,2.07,0.03,2.52,2.5,0.02
CA0513,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 2",diiodomethane,128,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,5.76,5.24,0.52,2.52,2.5,0.02
CA0514,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 5",water,142,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,9.03,7.02,2.01,5.69,5.39,0.31
CA0515,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 5",formamide,130,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,6.3,6.02,0.27,5.69,5.39,0.31
CA0516,10.3390/coatings13050928,"L4-C coated laser-textured CFRP, cleaning step 5",diiodomethane,111,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,2.77,2.77,0,5.69,5.39,0.31
CA0517,10.3390/ma17215238,low-energy coating sample 2,water,125.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,35.53,24.81,10.72,17.23,16.5,0.73
CA0518,10.3390/ma17215238,low-energy coating sample 2,formamide,114.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,20.27,19.68,0.59,17.23,16.5,0.73
CA0519,10.3390/ma17215238,low-energy coating sample 2,diiodomethane,80.2,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,5.4,4.95,0.46,17.23,16.5,0.73
CA0520,10.3390/ma17215238,low-energy coating sample 7,water,115.5,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,26.17,22.29,3.87,15.67,15.67,0
CA0521,10.3390/ma17215238,low-energy coating sample 7,formamide,106.2,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,18.23,18.22,0.01,15.67,15.67,0
CA0522,10.3390/ma17215238,low-energy coating sample 7,diiodomethane,79.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,7.64,5.91,1.72,15.67,15.67,0
CA0523,10.3390/ma17215238,low-energy coating sample 14,water,116.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,31.73,27.07,4.67,20.66,20.51,0.15
CA0524,10.3390/ma17215238,low-energy coating sample 14,formamide,101.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,23.17,23.07,0.11,20.66,20.51,0.15
CA0525,10.3390/ma17215238,low-energy coating sample 14,diiodomethane,72.7,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,10.66,10.12,0.54,20.66,20.51,0.15
CA0526,10.3390/ma17215238,OFAC reference low-energy coating,water,136.4,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,28.04,16.22,11.82,10.39,9.49,0.9
CA0527,10.3390/ma17215238,OFAC reference low-energy coating,formamide,130.5,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,12.75,12.01,0.74,10.39,9.49,0.9
CA0528,10.3390/ma17215238,OFAC reference low-energy coating,diiodomethane,95.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,1.81,1.41,0.39,10.39,9.49,0.9
CA0529,10.3390/ma19030529,CS chitosan-dialdehyde film,water,73.7,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,39.91,31.86,8.05
CA0530,10.3390/ma19030529,CS chitosan-dialdehyde film,diiodomethane,44.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,39.91,31.86,8.05
CA0531,10.3390/ma19030529,CSDA chitosan-dialdehyde film,water,88.7,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,32.29,29.54,2.75
