measurement_id,record_id,source_group_id,surface_group_id,legacy_analysis_split,v4_split,applsci_split,allow_training,allow_tuning,allow_evaluation,freeze_status
CA0076,CA0076,SRC024,SFC_8E1BAB0CA5A6,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0077,CA0077,SRC010,SFC_95580B5C4364,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0078,CA0078,SRC010,SFC_95580B5C4364,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0079,CA0079,SRC010,SFC_F7990EF3D076,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0080,CA0080,SRC010,SFC_F7990EF3D076,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0081,CA0081,SRC010,SFC_10C3C0102684,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0082,CA0082,SRC010,SFC_10C3C0102684,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0083,CA0083,SRC010,SFC_FA6603E349B6,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0084,CA0084,SRC010,SFC_FA6603E349B6,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0085,CA0085,SRC010,SFC_91AEF1F6D63F,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0086,CA0086,SRC010,SFC_91AEF1F6D63F,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0087,CA0087,SRC010,SFC_B26BB3C57516,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0088,CA0088,SRC010,SFC_B26BB3C57516,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0089,CA0089,SRC010,SFC_EE615B6001A2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0090,CA0090,SRC010,SFC_EE615B6001A2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0091,CA0091,SRC010,SFC_C256F7B116EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0092,CA0092,SRC010,SFC_C256F7B116EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0093,CA0093,SRC009,SFC_A5B2B66974AE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0094,CA0094,SRC009,SFC_A5B2B66974AE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0095,CA0095,SRC009,SFC_BF7DB4F8493A,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0096,CA0096,SRC009,SFC_BF7DB4F8493A,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0097,CA0097,SRC009,SFC_1CE43E1DBA17,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0098,CA0098,SRC009,SFC_1CE43E1DBA17,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0099,CA0099,SRC009,SFC_CD91556CDD43,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0100,CA0100,SRC009,SFC_CD91556CDD43,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0101,CA0101,SRC007,SFC_5EB9C176CFB3,internal_val,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0102,CA0102,SRC007,SFC_5EB9C176CFB3,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0103,CA0103,SRC007,SFC_4A9A552599CA,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0104,CA0104,SRC007,SFC_4A9A552599CA,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0105,CA0105,SRC007,SFC_FE6387F77D1C,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0106,CA0106,SRC007,SFC_FE6387F77D1C,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0107,CA0107,SRC008,SFC_5B98CD5D3171,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0108,CA0108,SRC008,SFC_501977853E73,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0109,CA0109,SRC008,SFC_FA2839A92EC7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0110,CA0110,SRC008,SFC_1D8B05F80DC7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0111,CA0111,SRC008,SFC_44B95F9FBEE4,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0112,CA0112,SRC008,SFC_E5CA0C67969B,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0113,CA0113,SRC011,SFC_80F2E516B76C,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0114,CA0114,SRC011,SFC_3D1A32355659,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0115,CA0115,SRC011,SFC_CB2D9C2A1945,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0116,CA0116,SRC011,SFC_37C517499760,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0117,CA0117,SRC011,SFC_9F03DB4646F7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0118,CA0118,SRC011,SFC_E8782E4956D5,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0119,CA0119,SRC011,SFC_D5E6A21B8B20,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0120,CA0120,SRC011,SFC_3A2A2BDFA9F8,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0121,CA0121,SRC011,SFC_D5E6A21B8B20,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0122,CA0122,SRC011,SFC_D5E6A21B8B20,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0123,CA0123,SRC011,SFC_B7019C8ED9E7,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0124,CA0124,SRC011,SFC_9BD6477E2B8C,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0125,CA0125,SRC011,SFC_C87A66F3CAD4,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0126,CA0126,SRC011,SFC_D5E6A21B8B20,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0127,CA0127,SRC011,SFC_83F1B2FBD3D1,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0128,CA0128,SRC011,SFC_B82DDA1FA6EB,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0129,CA0129,SRC011,SFC_B20AB2F2D7BA,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0130,CA0130,SRC011,SFC_D5E6A21B8B20,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0131,CA0131,SRC011,SFC_92FF2746E615,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0132,CA0132,SRC011,SFC_21F55DB1DB1F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0133,CA0133,SRC011,SFC_6A14591A116F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0134,CA0134,SRC011,SFC_24AA4E8E6A9C,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0135,CA0135,SRC011,SFC_8A02B7A7BFD9,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0136,CA0136,SRC011,SFC_DB32F86CDC1A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0137,CA0137,SRC011,SFC_BBDC727ABD48,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0138,CA0138,SRC011,SFC_251879E7A061,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0139,CA0139,SRC011,SFC_FA48F1E5F5A9,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0140,CA0140,SRC011,SFC_F8D6EADE4C8B,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0141,CA0141,SRC011,SFC_587171B3415D,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0142,CA0142,SRC011,SFC_035481CA46C7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0143,CA0143,SRC019,SFC_158AAEDEF9ED,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0144,CA0144,SRC019,SFC_158AAEDEF9ED,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0145,CA0145,SRC019,SFC_158AAEDEF9ED,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0146,CA0146,SRC019,SFC_2B64446C7017,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0147,CA0147,SRC019,SFC_2B64446C7017,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0148,CA0148,SRC019,SFC_2B64446C7017,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0149,CA0149,SRC019,SFC_DE2A842947A3,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0150,CA0150,SRC019,SFC_DE2A842947A3,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0151,CA0151,SRC019,SFC_DE2A842947A3,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0152,CA0152,SRC019,SFC_F38D9A54A3DA,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0153,CA0153,SRC019,SFC_F38D9A54A3DA,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0154,CA0154,SRC019,SFC_F38D9A54A3DA,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0155,CA0155,SRC019,SFC_728CE2CDF422,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0156,CA0156,SRC019,SFC_728CE2CDF422,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0157,CA0157,SRC019,SFC_728CE2CDF422,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0158,CA0158,SRC019,SFC_18B35400A3DF,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0159,CA0159,SRC019,SFC_18B35400A3DF,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0160,CA0160,SRC019,SFC_18B35400A3DF,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0161,CA0161,SRC019,SFC_A2A13A70D232,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0162,CA0162,SRC019,SFC_A2A13A70D232,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0163,CA0163,SRC019,SFC_A2A13A70D232,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0164,CA0164,SRC019,SFC_1A0DE38C2B6C,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0165,CA0165,SRC019,SFC_1A0DE38C2B6C,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0166,CA0166,SRC019,SFC_1A0DE38C2B6C,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0167,CA0167,SRC019,SFC_B939DB90B487,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0168,CA0168,SRC019,SFC_B939DB90B487,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0169,CA0169,SRC019,SFC_B939DB90B487,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0170,CA0170,SRC019,SFC_20F9A903B6D3,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0171,CA0171,SRC019,SFC_20F9A903B6D3,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0172,CA0172,SRC019,SFC_20F9A903B6D3,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0173,CA0173,SRC019,SFC_B194AD3300AA,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0174,CA0174,SRC019,SFC_B194AD3300AA,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0175,CA0175,SRC019,SFC_B194AD3300AA,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0176,CA0176,SRC019,SFC_518FE42D18EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0177,CA0177,SRC019,SFC_518FE42D18EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0178,CA0178,SRC019,SFC_518FE42D18EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0179,CA0179,SRC019,SFC_5B4B735AB969,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0180,CA0180,SRC019,SFC_5B4B735AB969,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0181,CA0181,SRC019,SFC_5B4B735AB969,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0182,CA0182,SRC019,SFC_C21C1D938B32,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0183,CA0183,SRC019,SFC_C21C1D938B32,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0184,CA0184,SRC019,SFC_C21C1D938B32,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0185,CA0185,SRC019,SFC_7CE7C443ED47,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0186,CA0186,SRC019,SFC_7CE7C443ED47,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0187,CA0187,SRC019,SFC_7CE7C443ED47,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0188,CA0188,SRC019,SFC_3A912BE10F78,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0189,CA0189,SRC019,SFC_3A912BE10F78,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0190,CA0190,SRC019,SFC_3A912BE10F78,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0191,CA0191,SRC019,SFC_A85159655264,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0192,CA0192,SRC019,SFC_A85159655264,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0193,CA0193,SRC019,SFC_A85159655264,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0194,CA0194,SRC019,SFC_FFB6C9027014,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0195,CA0195,SRC019,SFC_FFB6C9027014,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0196,CA0196,SRC019,SFC_FFB6C9027014,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0197,CA0197,SRC019,SFC_A4D0CCDC96C9,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0198,CA0198,SRC019,SFC_A4D0CCDC96C9,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0199,CA0199,SRC019,SFC_A4D0CCDC96C9,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0200,CA0200,SRC019,SFC_122E5AC99B75,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0201,CA0201,SRC019,SFC_122E5AC99B75,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0202,CA0202,SRC019,SFC_122E5AC99B75,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0203,CA0203,SRC021,SFC_AF7901E44BC5,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0204,CA0204,SRC021,SFC_AF7901E44BC5,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0205,CA0205,SRC021,SFC_AF7901E44BC5,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0206,CA0206,SRC021,SFC_AF7901E44BC5,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0207,CA0207,SRC021,SFC_64CEEFE0D7DB,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
CA0208,CA0208,SRC021,SFC_64CEEFE0D7DB,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0209,CA0209,SRC021,SFC_64CEEFE0D7DB,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0210,CA0210,SRC021,SFC_64CEEFE0D7DB,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
CA0211,CA0211,SRC021,SFC_6A9094C843B2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0212,CA0212,SRC021,SFC_6A9094C843B2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0213,CA0213,SRC021,SFC_6A9094C843B2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0214,CA0214,SRC021,SFC_6A9094C843B2,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0215,CA0215,SRC021,SFC_FF57CC803397,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0216,CA0216,SRC021,SFC_FF57CC803397,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0217,CA0217,SRC021,SFC_FF57CC803397,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0218,CA0218,SRC021,SFC_FF57CC803397,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0219,CA0219,SRC021,SFC_A7B1D9A554FD,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0220,CA0220,SRC021,SFC_A7B1D9A554FD,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0221,CA0221,SRC021,SFC_A7B1D9A554FD,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0222,CA0222,SRC021,SFC_A7B1D9A554FD,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
CA0223,CA0223,SRC021,SFC_9E60C86BF546,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
CA0224,CA0224,SRC021,SFC_9E60C86BF546,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
CA0225,CA0225,SRC021,SFC_9E60C86BF546,hard_external,train,train,yes,no,no,provisional_v4_bootstrap
