record_id,split_group,analysis_split,model_use,include_in_training,allow_train,allow_validation,allow_tuning,allow_hyperparameter_search,allow_internal_test_eval,allow_balanced_holdout_eval,allow_external_eval,freeze_status,leakage_policy,source_group_id,duplicate_policy,solid_surface_energy_source_type,quality_grade,solid_family,solid_name,liquid_name,contact_angle_deg,reference_doi,source_type,record_sha256
CA0026,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PPS,ethylene glycol,70,,database,f4b5110d0917b863e3fad49d442929463803103a2627a6b29ce852413bf3a6b7
CA0027,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PLA,ethylene glycol,58,,database,ff1c8ba95383d1448fa7f5e2eadebe06418f49761ece70f55d37338267bba32b
CA0028,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,EVA,ethylene glycol,78,,database,a5c017ae4017e0ef8c16e24b01e467dac5f180c6b8e5bc271b3d6527d70566cf
CA0029,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVDF,ethylene glycol,82,,database,1322d6ad42612aceaadf9632e319786a0b5792c7e027479296f6125f53b849dc
CA0030,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVA,ethylene glycol,48,,database,1cfc7fa7ba50267c33c6d0d84a32dd82eef2c8b2690616cba7c42abc950f5e18
CA0031,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PMMA,formamide,55,,database,014bdf4e9917ffb0e0df4367700d7ddfaaea3780c592f1756a777714eecce81b
CA0032,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PC,formamide,52,,database,b4ef63ac987d756900b375883d5d6c707e2489097a14764d6ec716d3f76ea12e
CA0033,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PET,formamide,58,,database,fe3facc33eaab0f882ab31d0affa6425768396e371ebe1e3b504ada2ba6c80f8
CA0034,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVC,formamide,62,,database,497c59d6affd4023fd20971bedd003ef0a421564b3985a660e68daca1f18ff0a
CA0035,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon6,formamide,48,,database,a132d1486946ad61cbb76f24cde22cffd1394b5bd38ecf0a199115bf5eb88fd8
CA0036,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon66,formamide,46,,database,a1093effbcce6d381cb095e0fc060c2e51d6b030cbcc1a45488fd0e3e3467c98
CA0037,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Epoxy,formamide,50,,database,ad8fd3749a2925288f0783ac0fda0e3b3a764242bc1bde60079fc05cb2d1e88a
CA0038,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PBT,formamide,56,,database,737c4235b11874a2dc7e8bf8610ea5beb8c77e322b58bba784814397cf87b168
CA0039,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,ABS,formamide,60,,database,c0b02db6100855fddd9d7defddde60a0c951d7790f35fbf486ddf85c6f417a53
CA0040,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PSU,formamide,55,,database,78f227ca6ef0452d2de27bdbe0a7e17d4bdbdef3b439aad5a6f5970539fc5919
CA0041,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PPS,formamide,65,,database,27eba75580f15c955666f1182917a9dfaeb5d669604c40c04d5fb212452776ef
CA0042,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PLA,formamide,54,,database,6f47ac60b6e10c1261bdbfe07c48f42880e7a23b471682c87fffdcb35786349b
CA0043,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PTFE,water,115,,database,ef0ae8a03a1c7fc275211830e5d4de666f31d10fb0c1aa279349c46612794258
CA0044,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PDMS,water,110,,database,9304b88f63bb58ac1066cd7ef07d19fe22fb2790d7a2f78fb94abb01bc6b418e
CA0045,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,FEP,water,118,,database,807faa76625c175484bb5198f37ac1b9cb5a46a287bcbcdbbaf7a4877a0dfa6e
CA0046,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PTFE,diiodomethane,88,,database,0a9ec93e32d1a862892dcd3eeca68dd4cec4c5cb9e3f2a7ac7ab8b595ec7c07f
CA0047,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PDMS,diiodomethane,82,,database,7820487bac09134cfc91f09eb1971854f48a0e1841be2bd5309e2c9d6b45bc98
CA0048,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,FEP,diiodomethane,90,,database,b4911e27877f910446f69fc38a36f4b0a9f973131f0b4aadb38a254e833091da
CA0049,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PTFE,ethylene glycol,98,,database,e49beb7075b399cfaadf32d6d1bf83ffda35c189808bdaf866d79fc0542ecceb
CA0050,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PDMS,ethylene glycol,95,,database,1cf0566e5d2b829f81028012a9e2540df0e9adeceb13176f8daaa977a9ef1823
CA0051,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,FEP,ethylene glycol,100,,database,2bd1513cc88dba8fbbeb868f61cb0bc102d5d5dc90aaf74fbc42df82f94d50f5
CA0052,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PS,water,85,,database,6015195e39abbee58b813635277fb474211352e24f0e70d29289f3c19e8fdac3
CA0053,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PE,water,95,,database,e2880a96ade0f04f6aac6bc06d00ad2b6bfcfcc4b3ac45eb756a2b9f2e029726
CA0054,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PP,water,98,,database,7cb566943d2b6d9a26fcb18886d5bb09dc81133fb8e031ed85df0dbd634a3ada
CA0055,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PB,water,94,,database,bae51be72471271a2dcdeacb753319e96622bc5617825e7460b2ca7982fed05a
CA0056,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PIB,water,96,,database,05456fdbff1e693e223a379a532c3374807304dc9743599d0a6c37811b5f5344
CA0057,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,BR,water,95,,database,934649dde953f9ed25fb11f8a60072d5033269be692e37041df8946988f01193
CA0058,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PS,ethylene glycol,72,,database,1eb2fcfa51d792ad2e5990e091e6ed5cb0e33a6f5d0f754feae55ae6ebd95efe
CA0059,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PE,ethylene glycol,82,,database,98f9d8d2a1116189c8a311b84d451d2cfb2ee757b51a4ed667ac597bd30096ab
CA0060,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PP,ethylene glycol,85,,database,0bdb11dcd07732fe577557577f84cbb00b61189a807445976f6fa5c6a9ce0655
CA0061,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PB,ethylene glycol,80,,database,6fd7f87842d1aee63f89aaf4caad1c230b8c886d360da8dbe4c190e9b46ed719
CA0062,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PIB,ethylene glycol,82,,database,6b5900e0a1824ffba318e075b306fff4219716215ab77eaf9bf0cfba952f4eaa
CA0063,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,BR,ethylene glycol,81,,database,823ee61c9bb2034c66ff5d61eb61cc15ec45255b4b1e817fcc953bcf83c3011d
CA0064,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PS,diiodomethane,48,,database,7aaa7f36472df49f8238d6e3c134732c5e2d1e3c2ca8496906ba805c82a0c7f9
CA0065,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PE,diiodomethane,52,,database,2918d8e1aca7c4c365c8324a247d04acc551d38a4517eeb6c38e35fccae24756
CA0066,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PP,diiodomethane,55,,database,ae54ebdc29419dac0035ae6aaacdc9ea725eeca418387055797e776cf1e389ad
CA0067,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PB,diiodomethane,50,,database,7810715a37712c979d52e4245610ea80b57980d42db30377e97ea1e12114a814
CA0068,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PIB,diiodomethane,52,,database,dff749d7c75a52cfe6373d494f2769893d4841d5283f635ce7e74929de3a7b7e
CA0069,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,BR,diiodomethane,51,,database,1035affcc520efd5063fe484aa4e455e72d14af8f3af51107ad4523f67ca2ba7
CA0070,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PS,water,91,,database,a946aeee75395336dec959c688161cd3cc60273ea9f250343a386d261a951b67
CA0071,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PTFE,water,108,,database,4355141d8a90a58d4d3f504a5dd6185c4ff48eeb5af06a962061b5165e59bc6a
CA0072,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PE,ethylene glycol,55,,database,e1c562bb5ca4ae088dfa8442ebfd1648db2ac373874ccc606fe101e43be8170c
CA0073,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PP,ethylene glycol,52,,database,963ad771e1e5bcdb72d8f76f3edba31ee0c66d6d186f13ced2c16efaf99e4b00
CA0074,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PS,ethylene glycol,68,,database,0002a242f6131434038676a22abe4e0ee8bfb021630f5d67445a7d703b6ca3fd
CA0075,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PTFE,ethylene glycol,78,,database,4f96a46f09d7a8e196f9bd8246aac9b435544bcf98f01628464ebaa0ec5474a8
CA0076,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC024,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVDF,ethylene glycol,58,,database,f3ee79183602a6d35a113efb89c53788f8e3b52b200104c77447421d6fb98a45
CA0077,internal_pool,internal_train,fixed_internal_train,yes,yes,no,no,no,no,no,no,frozen_v3.4,fixed_internal_train_only,SRC010,unique_or_condition_distinct_keep,inferred_from_contact_angles,A_high,polymer,PTFE,water,122.42,10.1038/s41598-025-19841-7,literature,baaf46d941cd4ab4acff8a553f44aa185ffb4ae36167acacec273e399204d6ec
CA0078,internal_pool,internal_train,fixed_internal_train,yes,yes,no,no,no,no,no,no,frozen_v3.4,fixed_internal_train_only,SRC010,unique_or_condition_distinct_keep,inferred_from_contact_angles,A_high,polymer,PTFE,diiodomethane,84.98,10.1038/s41598-025-19841-7,literature,b7ce543a055f7092a88304cf7f9791c518c2c5e06cac665882c4e71d07b4780e
CA0079,internal_pool,internal_test,fixed_internal_test,no,no,no,no,no,yes,no,no,frozen_v3.4,fixed_internal_test_no_tuning,SRC010,unique_or_condition_distinct_keep,inferred_from_contact_angles,A_high,polymer,PTFE,water,116.91,10.1038/s41598-025-19841-7,literature,c39b1c5e71dba9097e2e22695e9f251b2cf04ff06a38e3b28a2d40f6f08b5988
