reference_number,reference_number_previous,reference_number_clean,reference_doi,resolved_reference_doi,doi_resolution_note,reference_url,resolved_reference_url,reference_year,reference_title_dataset,reference_title_completed,reference_authors_completed,completed_source,title_match_status,n_records,analysis_splits,source_group_ids,source_types,solid_families,liquids,example_record_ids,included_in_completed_references,metadata_status,reference_authors_dataset_raw,reference_authors_dataset,reference_authors_verified,dataset_author_field_status,author_encoding_note,reference_title_verified,title_resolution_category,title_resolution_note,recommended_source_action,source_disjoint_risk_item,source_disjoint_risk_review
33,34,33,10.1038/s41598-025-25325-5,10.1038/s41598-025-25325-5,dataset DOI used directly,https://doi.org/10.1038/s41598-025-25325-5,https://doi.org/10.1038/s41598-025-25325-5,2025,Graphene oxide and cannabidiol-based hybrid coatings on PMMA,Graphene oxide and cannabidiol-based hybrid coatings on PMMA for biomedical applications,"Antonowicz, M.; Hüpsch, M.; Wilk, K.; Taratuta, A.; Majewska, J.; Martynková, G. S.; Crockett, R.; Alinezhadfar, M.",Scientific Reports,near_match,10,source_disjoint_external,SDX001,literature,polymer,diiodomethane;water,CA0545;CA0546;CA0547;CA0548;CA0549,yes,found,Dziadkowiec et al.,Dziadkowiec et al.,"Antonowicz, M.; Hüpsch, M.; Wilk, K.; Taratuta, A.; Majewska, J.; Martynková, G. S.; Crockett, R.; Alinezhadfar, M.",raw_dataset_author_differs_from_verified_metadata,Verified author metadata contains UTF-8 diacritics; PowerShell console may display mojibake although file encoding is UTF-8.,Graphene oxide and cannabidiol-based hybrid coatings on PMMA for biomedical applications,official_title_shortened_in_dataset,Dataset title is a shortened form of the official DOI title; DOI/source is valid. Dataset author field is historical/incorrect and should be replaced by DOI metadata.,Keep SDX001 as source_disjoint_external; cite verified DOI metadata; data values unchanged.,yes,SDX001: official_title_shortened_in_dataset. Keep SDX001 as source_disjoint_external; cite verified DOI metadata; data values unchanged.
34,35,34,10.1038/s41598-026-40965-x,10.1038/s41598-026-40965-x,dataset DOI used directly,https://doi.org/10.1038/s41598-026-40965-x,https://doi.org/10.1038/s41598-026-40965-x,2026,Thirty years of contact angles reveal universal design rules for wetting control,Thirty years of contact angles reveal universal design rules for wetting control,"Karimdoost Yasuri, A.",Scientific Reports,exact,44,balanced_holdout;excluded_review,SRC011,literature;literature_review,carbon_material;ceramic;coating;metal;other;oxide;polymer,diiodomethane;ethylene glycol;formamide;glycerol;water,CA0113;CA0114;CA0115;CA0116;CA0117,yes,found,Berry et al.,Berry et al.,"Karimdoost Yasuri, A.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Thirty years of contact angles reveal universal design rules for wetting control,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
35,36,35,10.1039/C4TA06944G,10.1039/C4TA06944G,dataset DOI used directly,https://doi.org/10.1039/C4TA06944G,https://doi.org/10.1039/C4TA06944G,2015,"Transparent, thermally and mechanically stable superhydrophobic coating prepared by an electrochemical template strategy","Transparent, thermally and mechanically stable superhydrophobic coating prepared by an electrochemical template strategy","Xu, L.; Zhu, D.; Lu, X.; Lu, Q.",Journal of Materials Chemistry A,exact,4,hard_external,SRC012,literature,coating,diiodomethane;ethylene glycol;hexadecane;water,CA0459;CA0460;CA0461;CA0462,yes,found,L. Xu; D. Zhu; X. Lu; Q. Lu,L. Xu; D. Zhu; X. Lu; Q. Lu,"Xu, L.; Zhu, D.; Lu, X.; Lu, Q.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,"Transparent, thermally and mechanically stable superhydrophobic coating prepared by an electrochemical template strategy",exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
36,37,36,10.1039/C9RA03801A,10.1039/C9RA03801A,dataset DOI used directly,https://doi.org/10.1039/C9RA03801A,https://doi.org/10.1039/C9RA03801A,2019,Electronic performance of printed PEDOT:PSS lines correlated to the physical and chemical properties of coated inkjet papers,Electronic performance of printed PEDOT:PSS lines correlated to the physical and chemical properties of coated inkjet papers,"Forsberg, V.; Mašlík, J.; Norgren, M.",RSC Advances,exact,18,balanced_holdout;internal_test;internal_train;internal_val,SRC013,literature,coating,diiodomethane;ethylene glycol;water,CA0235;CA0236;CA0237;CA0238;CA0239,yes,found,Viviane Forsberg; Jan Maslik; Magnus Norgren,Viviane Forsberg; Jan Maslik; Magnus Norgren,"Forsberg, V.; Mašlík, J.; Norgren, M.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,Verified author metadata contains UTF-8 diacritics; PowerShell console may display mojibake although file encoding is UTF-8.,Electronic performance of printed PEDOT:PSS lines correlated to the physical and chemical properties of coated inkjet papers,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
37,38,37,10.1039/D2RA08165B,10.1039/D2RA08165B,dataset DOI used directly,https://doi.org/10.1039/D2RA08165B,https://doi.org/10.1039/D2RA08165B,2023,Exploration of advanced cellulosic material for membrane filtration with outstanding antifouling property,Exploration of advanced cellulosic material for membrane filtration with outstanding antifouling property,"Koyama, H.; Mori, T.; Nagai, K.; Shimamoto, S.",RSC Advances,exact,27,balanced_holdout;internal_test;internal_train;internal_val,SRC014,literature,polymer,diiodomethane;formamide;water,CA0333;CA0334;CA0335;CA0336;CA0337,yes,found,D. Koyama; T. Sakajiri; T. Kakuchi; K. Numata; R. Kakuchi,D. Koyama; T. Sakajiri; T. Kakuchi; K. Numata; R. Kakuchi,"Koyama, H.; Mori, T.; Nagai, K.; Shimamoto, S.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Exploration of advanced cellulosic material for membrane filtration with outstanding antifouling property,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
38,39,38,10.1073/pnas.0403269102,10.1128/AEM.70.10.6012-6022.2004,dataset DOI/title mismatch resolved from article title; original dataset DOI retained in map,https://doi.org/10.1073/pnas.0403269102,https://doi.org/10.1128/AEM.70.10.6012-6022.2004,2004,Nanoscale Investigation of Pathogenic Microbial Adhesion to a Biomaterial,Nanoscale Investigation of Pathogenic Microbial Adhesion to a Biomaterial,"Emerson, R. J.; Camesano, T. A.",Applied and Environmental Microbiology,exact,6,source_disjoint_external,SDX002,literature,biomaterial,diiodomethane;formamide;water,CA0581;CA0582;CA0583;CA0584;CA0585,yes,found,Vadillo-Rodriguez et al.,Vadillo-Rodriguez et al.,"Emerson, R. J.; Camesano, T. A.",raw_dataset_author_differs_from_verified_metadata,No encoding issue detected.,Nanoscale Investigation of Pathogenic Microbial Adhesion to a Biomaterial,doi_corrected,Original dataset DOI did not resolve through Crossref for this title. The article title resolves to 10.1128/AEM.70.10.6012-6022.2004.,Retain original DOI only as audit trace; cite the resolved DOI; re-check source-disjoint exclusion using the resolved DOI in future split audits.,yes,SDX002: doi_corrected. Retain original DOI only as audit trace; cite the resolved DOI; re-check source-disjoint exclusion using the resolved DOI in future split audits.
39,40,39,10.1186/1556-276X-6-411,10.1186/1556-276X-6-411,dataset DOI used directly,https://doi.org/10.1186/1556-276X-6-411,https://doi.org/10.1186/1556-276X-6-411,2011,Nanoscale surface modifications to control capillary flow characteristics in PMMA microfluidic devices,Nanoscale surface modifications to control capillary flow characteristics in PMMA microfluidic devices,"Mukhopadhyay, S.; Roy, S. S.; D'Sa, R. A.; Mathur, A.; Holmes, R. J.; McLaughlin, J. A.",Nanoscale Research Letters,exact,10,balanced_holdout;internal_test;internal_train;internal_val,SRC015,literature,polymer,ethylene glycol;water,CA0267;CA0268;CA0269;CA0270;CA0271,yes,found,Subhadeep Mukhopadhyay et al.,Subhadeep Mukhopadhyay et al.,"Mukhopadhyay, S.; Roy, S. S.; D'Sa, R. A.; Mathur, A.; Holmes, R. J.; McLaughlin, J. A.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Nanoscale surface modifications to control capillary flow characteristics in PMMA microfluidic devices,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
40,41,40,10.1186/s13568-014-0032-0,10.1186/s13568-014-0032-0,dataset DOI used directly,https://doi.org/10.1186/s13568-014-0032-0,https://doi.org/10.1186/s13568-014-0032-0,2014,Paper-based planar reaction arrays for printed diagnostics,Printed paper-based arrays as substrates for biofilm formation,"Määttänen, A.; Fallarero, A.; Kujala, J.; Ihalainen, P.; Vuorela, P.; Peltonen, J.",AMB Express,dataset_title_differs_from_completed_metadata,18,balanced_holdout;internal_test;internal_train;internal_val,SRC016,literature,cellulose;polymer,diiodomethane;ethylene glycol;water,CA0429;CA0430;CA0431;CA0432;CA0433,yes,found,[legacy mojibake in input; cleaned to A. Määttänen et al.],A. Määttänen et al.,"Määttänen, A.; Fallarero, A.; Kujala, J.; Ihalainen, P.; Vuorela, P.; Peltonen, J.",raw_dataset_author_had_legacy_mojibake_cleaned,Legacy mojibake repaired in verified map; original corrupted byte-display string is not propagated.,Printed paper-based arrays as substrates for biofilm formation,dataset_title_field_error_and_author_mojibake,"Dataset title differs from the official DOI title, and the raw dataset author string contains legacy mojibake for Määttänen.",Use verified DOI title/authors; clean raw author display to A. Määttänen et al.; flag dataset source fields for correction.,no,not_source_disjoint_external_risk_item
41,42,41,10.1208/s12248-008-9057-0,10.1208/s12248-008-9057-0,dataset DOI used directly,https://doi.org/10.1208/s12248-008-9057-0,https://doi.org/10.1208/s12248-008-9057-0,2008,Surface Energy of Microcrystalline Cellulose Determined by Capillary Intrusion and Inverse Gas Chromatography,Surface Energy of Microcrystalline Cellulose Determined by Capillary Intrusion and Inverse Gas Chromatography,"Steele, D. F.; Moreton, R. C.; Staniforth, J. N.; Young, P. M.; Tobyn, M. J.; Edge, S.",The AAPS Journal,exact,6,source_disjoint_external,SDX003,literature,cellulose,diiodomethane;ethylene glycol;water,CA0575;CA0576;CA0577;CA0578;CA0579,yes,found,Douroumis et al.,Douroumis et al.,"Steele, D. F.; Moreton, R. C.; Staniforth, J. N.; Young, P. M.; Tobyn, M. J.; Edge, S.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Surface Energy of Microcrystalline Cellulose Determined by Capillary Intrusion and Inverse Gas Chromatography,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
42,43,42,10.3389/fchem.2018.00144,10.3389/fchem.2018.00144,dataset DOI used directly,https://doi.org/10.3389/fchem.2018.00144,https://doi.org/10.3389/fchem.2018.00144,2018,Mechanically Robust and Thermally Stable Colorful Superamphiphobic Coatings,Mechanically Robust and Thermally Stable Colorful Superamphiphobic Coatings,"Tian, N.; Zhang, P.; Zhang, J.",Frontiers in Chemistry,exact,8,hard_external,SRC017,literature,coating,"1,2-dichloroethane;diiodomethane;ethylene glycol;hexadecane;n-decane;n-dodecane;toluene;water",CA0447;CA0448;CA0449;CA0450;CA0451,yes,found,N. Tian; P. Zhang; J. Zhang,N. Tian; P. Zhang; J. Zhang,"Tian, N.; Zhang, P.; Zhang, J.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Mechanically Robust and Thermally Stable Colorful Superamphiphobic Coatings,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
43,44,43,10.3390/coatings11060663,10.3390/coatings11060663,dataset DOI used directly,https://doi.org/10.3390/coatings11060663,https://doi.org/10.3390/coatings11060663,2021,Robust Superhydrophobic and Superoleophilic FEP/SiO2 Hybrid Coatings for Highly Efficient Oil/Water Separation,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,"Huang, X.; Yu, R.",Coatings,dataset_title_differs_from_completed_metadata,4,hard_external,SRC018,literature,coating,diiodomethane;ethylene glycol;glycerol;water,CA0455;CA0456;CA0457;CA0458,yes,found,X. Huang; R. Yu,X. Huang; R. Yu,"Huang, X.; Yu, R.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,dataset_title_field_error,Dataset title names a different coating/oil-water-separation article than the official DOI metadata.,Use verified DOI title/authors in references and flag source-title field for dataset cleanup.,no,not_source_disjoint_external_risk_item
44,45,44,10.3390/coatings13050928,10.3390/coatings13050928,dataset DOI used directly,https://doi.org/10.3390/coatings13050928,https://doi.org/10.3390/coatings13050928,2023,Enhancing Coating Adhesion on Fibre-Reinforced Composite by Femtosecond Laser Texturing,Enhancing Coating Adhesion on Fibre-Reinforced Composite by Femtosecond Laser Texturing,"Piscitelli, F.; De Palo, R.; Volpe, A.",Coatings,exact,48,source_disjoint_external,SDX004,literature,composite,diiodomethane;formamide;water,CA0469;CA0470;CA0471;CA0472;CA0473,yes,found,Olszewski et al.,Olszewski et al.,"Piscitelli, F.; De Palo, R.; Volpe, A.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Enhancing Coating Adhesion on Fibre-Reinforced Composite by Femtosecond Laser Texturing,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
45,46,45,10.3390/ijms22084012,10.3390/ijms22084012,dataset DOI used directly,https://doi.org/10.3390/ijms22084012,https://doi.org/10.3390/ijms22084012,2021,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,"Plota, A.; Masek, A.",International Journal of Molecular Sciences,exact,60,balanced_holdout;internal_test;internal_train;internal_val,SRC019,literature,polymer,diiodomethane;ethylene glycol;water,CA0143;CA0144;CA0145;CA0146;CA0147,yes,found,A. Plota; A. Masek,A. Plota; A. Masek,"Plota, A.; Masek, A.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
46,47,46,10.3390/ma17215238,10.3390/ma17215238,dataset DOI used directly,https://doi.org/10.3390/ma17215238,https://doi.org/10.3390/ma17215238,2024,Optimization of a Low Surface Energy Coating for Enhanced Water Resistance and Condensation Suppression,Optimization of a Low Surface Energy Coating for Enhanced Water Resistance and Condensation Suppression,"Pan, S.; Ouyang, Y.; Zhao, Y.; Wang, Q.; Qian, Y.; He, C.",Materials,exact,12,source_disjoint_external,SDX005,literature,coating,diiodomethane;formamide;water,CA0517;CA0518;CA0519;CA0520;CA0521,yes,found,Kwok et al.,Kwok et al.,"Pan, S.; Ouyang, Y.; Zhao, Y.; Wang, Q.; Qian, Y.; He, C.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Optimization of a Low Surface Energy Coating for Enhanced Water Resistance and Condensation Suppression,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
47,48,47,10.3390/ma19030529,10.3390/ma19030529,dataset DOI used directly,https://doi.org/10.3390/ma19030529,https://doi.org/10.3390/ma19030529,2026,Green Deep Eutectic Solvents for Functionalizing Chitosan-Dialdehyde Materials with Varied Crosslinker Content,Green Deep Eutectic Solvents for Functionalizing Chitosan–Dialdehyde Materials with Varied Crosslinker Content,"Gierszewska, M.; Olewnik-Kruszkowska, E.; Kadac-Czapska, K.; Grembecka, M.; Knez, E.",Materials,exact,16,source_disjoint_external,SDX006,literature,biomaterial,diiodomethane;water,CA0529;CA0530;CA0531;CA0532;CA0533,yes,found,Mohammed et al.,Mohammed et al.,"Gierszewska, M.; Olewnik-Kruszkowska, E.; Kadac-Czapska, K.; Grembecka, M.; Knez, E.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Green Deep Eutectic Solvents for Functionalizing Chitosan–Dialdehyde Materials with Varied Crosslinker Content,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
