record_id,dataset_version,collection_status,source_type,reference_title,reference_authors,reference_year,reference_doi,reference_url,data_extraction_note,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_LW_mJ_m2,solid_acid_plus_mJ_m2,solid_base_minus_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,liquid_name,liquid_family,liquid_total_surface_tension_mN_m,liquid_dispersion_mN_m,liquid_polar_mN_m,liquid_LW_mN_m,liquid_acid_plus_mN_m,liquid_base_minus_mN_m,liquid_viscosity_mPa_s,liquid_dipole_moment_D,liquid_dielectric_constant,liquid_property_source,temperature_K,humidity_percent,pressure_atm,contact_angle_deg,contact_angle_type,measurement_method,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,is_equilibrium_angle,sample_preparation_notes,quality_grade,include_in_training,split_group,duplicate_group_id,conflict_flag,curation_date,analysis_split,source_group_id,duplicate_policy
CA0011,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PPS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,42,36,6,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,82,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0012,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PLA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,44,28,16,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,73,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0013,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,EVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,36,30,6,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,88,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0014,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVDF,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,33,25,8,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,92,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0015,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,49,28,21,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,62,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0016,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PMMA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,42,21,21,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,58,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0017,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,45,22.5,22.5,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,55,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0018,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PET,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,44,32,12,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,62,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0019,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,42,32,10,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,68,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0020,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Nylon6,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,46,34,12,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,52,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0021,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Nylon66,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,47,35,12,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,50,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0022,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Epoxy,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,48,30,18,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,56,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0023,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PBT,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,43,30,13,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,60,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0024,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,ABS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,40,30,10,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,65,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0025,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PSU,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,44,31,13,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,60,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0026,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PPS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,42,36,6,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,70,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0027,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PLA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,44,28,16,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,58,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0028,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,EVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,36,30,6,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,78,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0029,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVDF,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,33,25,8,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,82,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0030,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,49,28,21,,,,project/default or same source when available,assumed_or_estimated,ethylene glycol,polar,48,29,19,29,1.92,47,16.1,2.28,37,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,48,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0031,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PMMA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,42,21,21,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,55,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0032,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,45,22.5,22.5,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,52,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0033,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PET,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,44,32,12,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,58,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0034,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PVC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,42,32,10,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,62,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0035,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Nylon6,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,46,34,12,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,48,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0036,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Nylon66,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,47,35,12,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,46,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0037,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,Epoxy,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,48,30,18,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,50,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0038,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PBT,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,43,30,13,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,56,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0039,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,ABS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,40,30,10,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,60,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0040,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PSU,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,44,31,13,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,55,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0041,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PPS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,42,36,6,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,65,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0042,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PLA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,44,28,16,,,,project/default or same source when available,assumed_or_estimated,formamide,polar,58,39,19,39,2.28,39.6,3.3,3.73,111,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,54,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0043,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PTFE,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,18.5,18.5,0,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,115,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0044,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,PDMS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,22,22,0,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,110,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
CA0045,v3.4,extracted,database,Legacy database record without row-level public DOI,Legacy compilation,2026,,,legacy literature-derived/project-internal source; no row-level DOI available,FEP,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,16,16,0,,,,project/default or same source when available,assumed_or_estimated,water,polar,72.8,21.8,51,21.8,25.5,25.5,0.89,1.85,78.4,standard literature values at approximately 20-25 C unless source reports otherwise,298.15,,1,118,static,sessile_drop,,,,,,unknown,,C_low,review,unassigned,,unclear_condition,2026-05-18,excluded_review,SRC023,unique_or_condition_distinct_keep
