measurement_id,record_id,source_group_id,surface_group_id,legacy_analysis_split,v4_split,applsci_split,allow_training,allow_tuning,allow_evaluation,freeze_status
CA0076,CA0076,SRC024,SFC_8E1BAB0CA5A6,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0077,CA0077,SRC010,SFC_95580B5C4364,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0078,CA0078,SRC010,SFC_95580B5C4364,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0079,CA0079,SRC010,SFC_F7990EF3D076,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0080,CA0080,SRC010,SFC_F7990EF3D076,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0081,CA0081,SRC010,SFC_10C3C0102684,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0082,CA0082,SRC010,SFC_10C3C0102684,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0083,CA0083,SRC010,SFC_FA6603E349B6,internal_test,train,train,yes,no,no,provisional_v4_bootstrap
CA0084,CA0084,SRC010,SFC_FA6603E349B6,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0085,CA0085,SRC010,SFC_91AEF1F6D63F,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0086,CA0086,SRC010,SFC_91AEF1F6D63F,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0087,CA0087,SRC010,SFC_B26BB3C57516,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0088,CA0088,SRC010,SFC_B26BB3C57516,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0089,CA0089,SRC010,SFC_EE615B6001A2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0090,CA0090,SRC010,SFC_EE615B6001A2,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0091,CA0091,SRC010,SFC_C256F7B116EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0092,CA0092,SRC010,SFC_C256F7B116EE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0093,CA0093,SRC009,SFC_A5B2B66974AE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0094,CA0094,SRC009,SFC_A5B2B66974AE,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0095,CA0095,SRC009,SFC_BF7DB4F8493A,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0096,CA0096,SRC009,SFC_BF7DB4F8493A,internal_val,train,train,yes,no,no,provisional_v4_bootstrap
CA0097,CA0097,SRC009,SFC_1CE43E1DBA17,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0098,CA0098,SRC009,SFC_1CE43E1DBA17,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0099,CA0099,SRC009,SFC_CD91556CDD43,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0100,CA0100,SRC009,SFC_CD91556CDD43,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0101,CA0101,SRC007,SFC_5EB9C176CFB3,internal_val,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0102,CA0102,SRC007,SFC_5EB9C176CFB3,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0103,CA0103,SRC007,SFC_4A9A552599CA,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0104,CA0104,SRC007,SFC_4A9A552599CA,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0105,CA0105,SRC007,SFC_FE6387F77D1C,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0106,CA0106,SRC007,SFC_FE6387F77D1C,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0107,CA0107,SRC008,SFC_5B98CD5D3171,balanced_holdout,train,train,yes,no,no,provisional_v4_bootstrap
CA0108,CA0108,SRC008,SFC_501977853E73,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0109,CA0109,SRC008,SFC_FA2839A92EC7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0110,CA0110,SRC008,SFC_1D8B05F80DC7,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0111,CA0111,SRC008,SFC_44B95F9FBEE4,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0112,CA0112,SRC008,SFC_E5CA0C67969B,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0235,CA0235,SRC013,SFC_2A727AF34E6D,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0236,CA0236,SRC013,SFC_2A727AF34E6D,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0237,CA0237,SRC013,SFC_2A727AF34E6D,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0238,CA0238,SRC013,SFC_E38FF72DBA39,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0239,CA0239,SRC013,SFC_E38FF72DBA39,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0240,CA0240,SRC013,SFC_E38FF72DBA39,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0241,CA0241,SRC013,SFC_39DBA098ECDC,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0242,CA0242,SRC013,SFC_39DBA098ECDC,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0243,CA0243,SRC013,SFC_39DBA098ECDC,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0244,CA0244,SRC013,SFC_417F923EF7B4,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0245,CA0245,SRC013,SFC_417F923EF7B4,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0246,CA0246,SRC013,SFC_417F923EF7B4,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0247,CA0247,SRC013,SFC_8E79B764A41F,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0248,CA0248,SRC013,SFC_8E79B764A41F,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0249,CA0249,SRC013,SFC_8E79B764A41F,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0250,CA0250,SRC013,SFC_67E6ABEA7841,internal_val,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0251,CA0251,SRC013,SFC_67E6ABEA7841,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0252,CA0252,SRC013,SFC_67E6ABEA7841,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0267,CA0267,SRC015,SFC_93C87B65E929,internal_val,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0268,CA0268,SRC015,SFC_93C87B65E929,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0269,CA0269,SRC015,SFC_A716853C1624,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0270,CA0270,SRC015,SFC_A716853C1624,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0271,CA0271,SRC015,SFC_86D8700CAF9C,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0272,CA0272,SRC015,SFC_86D8700CAF9C,internal_val,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0273,CA0273,SRC015,SFC_3014F50685DA,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0274,CA0274,SRC015,SFC_3014F50685DA,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0275,CA0275,SRC015,SFC_FD37A16743B7,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0276,CA0276,SRC015,SFC_FD37A16743B7,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0277,CA0277,SRC005,SFC_1B0EE35A8601,internal_train,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0278,CA0278,SRC005,SFC_1B0EE35A8601,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0279,CA0279,SRC005,SFC_231FB62337B5,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0280,CA0280,SRC005,SFC_231FB62337B5,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0281,CA0281,SRC005,SFC_D6B816FE09EC,internal_test,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0282,CA0282,SRC005,SFC_D6B816FE09EC,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0283,CA0283,SRC005,SFC_F8843DC534D0,internal_val,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0284,CA0284,SRC005,SFC_F8843DC534D0,balanced_holdout,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0285,CA0285,SRC006,SFC_4B9DA50F6033,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0286,CA0286,SRC006,SFC_4B9DA50F6033,internal_train,train,train,yes,no,no,provisional_v4_bootstrap
CA0287,CA0287,SRC022,SFC_75203B72A5AD,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0288,CA0288,SRC022,SFC_75203B72A5AD,internal_val,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0289,CA0289,SRC022,SFC_39B450DAB1FB,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0290,CA0290,SRC022,SFC_39B450DAB1FB,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0291,CA0291,SRC022,SFC_588A96278F34,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0292,CA0292,SRC022,SFC_588A96278F34,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0293,CA0293,SRC022,SFC_A2BE3F1765AE,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0294,CA0294,SRC022,SFC_A2BE3F1765AE,balanced_holdout,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0295,CA0295,SRC022,SFC_292FB4EA5D24,internal_val,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0296,CA0296,SRC022,SFC_292FB4EA5D24,internal_test,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0297,CA0297,SRC022,SFC_BD3224C101E4,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0298,CA0298,SRC022,SFC_BD3224C101E4,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0299,CA0299,SRC022,SFC_2E5EA5C6D130,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0300,CA0300,SRC022,SFC_2E5EA5C6D130,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0301,CA0301,SRC022,SFC_D4A1459EC26C,internal_val,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0302,CA0302,SRC022,SFC_D4A1459EC26C,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0447,CA0447,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0448,CA0448,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0449,CA0449,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0450,CA0450,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0451,CA0451,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0452,CA0452,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0453,CA0453,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0454,CA0454,SRC017,SFC_AFFB3785B9F0,hard_external,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0463,CA0463,SRC002,SFC_5523B41BFD8F,hard_external,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0464,CA0464,SRC002,SFC_5523B41BFD8F,hard_external,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0465,CA0465,SRC002,SFC_5523B41BFD8F,hard_external,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0466,CA0466,SRC002,SFC_5523B41BFD8F,hard_external,validation,validation,no,yes,no,provisional_v4_bootstrap
CA0467,CA0467,SRC003,SFC_6DD3FB38C4D9,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0468,CA0468,SRC003,SFC_6DD3FB38C4D9,internal_train,internal_test,internal_test,no,no,yes,provisional_v4_bootstrap
CA0529,CA0529,SDX006,SFC_55DDAE9FF4E5,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0530,CA0530,SDX006,SFC_55DDAE9FF4E5,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0531,CA0531,SDX006,SFC_8810EE8758ED,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0532,CA0532,SDX006,SFC_8810EE8758ED,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0533,CA0533,SDX006,SFC_15EC92D72DA3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0534,CA0534,SDX006,SFC_15EC92D72DA3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0535,CA0535,SDX006,SFC_7ABDB4BDAFA3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0536,CA0536,SDX006,SFC_7ABDB4BDAFA3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0537,CA0537,SDX006,SFC_86D193058DBE,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0538,CA0538,SDX006,SFC_86D193058DBE,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0539,CA0539,SDX006,SFC_C578D204BBE3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0540,CA0540,SDX006,SFC_C578D204BBE3,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0541,CA0541,SDX006,SFC_AEDDDB49C107,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0542,CA0542,SDX006,SFC_AEDDDB49C107,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0543,CA0543,SDX006,SFC_12E012885148,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0544,CA0544,SDX006,SFC_12E012885148,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0545,CA0545,SDX001,SFC_159FF1E1E160,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0546,CA0546,SDX001,SFC_159FF1E1E160,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0547,CA0547,SDX001,SFC_91A5214A0C27,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0548,CA0548,SDX001,SFC_91A5214A0C27,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0549,CA0549,SDX001,SFC_3C4F304244DF,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0550,CA0550,SDX001,SFC_3C4F304244DF,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0551,CA0551,SDX001,SFC_95A0FAE91CD0,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0552,CA0552,SDX001,SFC_95A0FAE91CD0,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0553,CA0553,SDX001,SFC_38EFEBA36525,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0554,CA0554,SDX001,SFC_38EFEBA36525,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0555,CA0555,SDX009,SFC_90843D24007D,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0556,CA0556,SDX009,SFC_90843D24007D,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0557,CA0557,SDX009,SFC_962FBAB11443,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0558,CA0558,SDX009,SFC_962FBAB11443,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0559,CA0559,SDX009,SFC_4A58BED65751,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0560,CA0560,SDX009,SFC_4A58BED65751,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0561,CA0561,SDX009,SFC_FE7D2709B140,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0562,CA0562,SDX009,SFC_FE7D2709B140,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0587,CA0587,SDX010,SFC_B0B8AD6AD8FD,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
CA0588,CA0588,SDX010,SFC_B0B8AD6AD8FD,source_disjoint_external,legacy_external,legacy_external,no,no,yes,provisional_v4_bootstrap
