surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_38EFEBA36525,SDX001,SG3/CBD coated PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3/CBD coated PMMA; PMMA laser/GO/CBD surface, Table 3",GO/CBD hybrid coating,rough_coated,1310.0,1660.0,,"SG3/CBD coated PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_39B450DAB1FB,SRC022,Ionene C6Br,polymer,,untreated,Ionene C6Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_39DBA098ECDC,SRC013,RSC coated paper S3,coating,coated inkjet paper,coating,RSC coated paper S3 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_3C4F304244DF,SDX001,SG9.5 laser-textured PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG9.5 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3",,rough_coated,510.0,680.0,,"SG9.5 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_417F923EF7B4,SRC013,RSC coated paper S4,coating,coated inkjet paper,coating,RSC coated paper S4 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_44B95F9FBEE4,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 captive bubble method,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_49842D0D9B8F,SRC023,PDMS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_4A58BED65751,SDX009,M-Poly-PyB modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-PyB modified nonwoven PET membrane; surface porosity 58%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-PyB modified nonwoven PET membrane; surface porosity 58%; Table 3
SFC_4A9A552599CA,SRC007,PET,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_4B9DA50F6033,SRC006,Polypropylene carbonate (PPC),polymer,biodegradable PPC film,untreated,biodegradable CO2-based PPC polymer dielectric/substrate film,,smooth,,,,PPC film used as both dielectric and flexible substrate in organic thin-film transistors
SFC_501977853E73,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 dry film,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_5523B41BFD8F,SRC002,Fluorinated terpolymer electrospun nanofiber mat,polymer,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,coating,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_55DDAE9FF4E5,SDX006,CS chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CS chitosan/dialdehyde film; Table 3,,coated,,,,CS chitosan/dialdehyde film; Table 3
SFC_57C35DC0B570,SDX010,smooth PIndole-5-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-5-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.4,9.8,,smooth PIndole-5-F6 film; smooth-film Table 4 roughness/contact angles
SFC_588A96278F34,SRC022,Ionene C9Br,polymer,,untreated,Ionene C9Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_5B98CD5D3171,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 dry film,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_5EB9C176CFB3,SRC007,PP,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_67E6ABEA7841,SRC013,RSC coated paper S6,coating,coated inkjet paper,coating,RSC coated paper S6 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_6DD3FB38C4D9,SRC003,"FTS-treated Cu micro-cone array, 15 min",metal,copper,chemical_deposition_plasma_fluorosilane,"template-free Cu micro-cone arrays, air plasma activation, 15 min FTS treatment",fluorocarbon FTS layer on Cu micro-cone array,rough,,,,selected from high-angle candidate audit because paired water/diiodomethane values allow apparent OWRK feature completion
SFC_7320418E2637,SRC023,PIB,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_75203B72A5AD,SRC022,Ionene C5Br,polymer,,untreated,Ionene C5Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_782084083F60,SRC023,PLA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_7ABDB4BDAFA3,SDX006,CSDA/PH chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/PH chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/PH chitosan/dialdehyde film; Table 3
SFC_8236ECA9EB74,SRC023,PTFE,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_82F5C36F39D2,SDX007,PLA film before composting,polymer,PLA,extruded_film_before_composting,PLA film before composting; month 0 before composting; Table 1/2,,smooth,,,,PLA film before composting; month 0 before composting; Table 1/2
SFC_833BD19E975A,SRC023,PVC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_86D193058DBE,SDX006,CSDA/BE chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/BE chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/BE chitosan/dialdehyde film; Table 3
SFC_86D8700CAF9C,SRC015,N2 plasma-treated PMMA,polymer,PMMA microfluidic device,plasma,PMMA treated by nitrogen plasma,,smooth,,,,PMMA treated by nitrogen plasma
SFC_8810EE8758ED,SDX006,CSDA chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA chitosan/dialdehyde film; Table 3,,coated,,,,CSDA chitosan/dialdehyde film; Table 3
SFC_8E1BAB0CA5A6,SRC024,PVDF,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_8E79B764A41F,SRC013,RSC coated paper S5,coating,coated inkjet paper,coating,RSC coated paper S5 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_90843D24007D,SDX009,Unmodified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,Unmodified nonwoven PET membrane; surface porosity 34%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,Unmodified nonwoven PET membrane; surface porosity 34%; Table 3
SFC_91A5214A0C27,SDX001,SG3 laser-textured PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3",,rough_coated,1270.0,1610.0,,"SG3 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_91AEF1F6D63F,SRC010,PE,polymer,,untreated,untreated PE control,,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_93C87B65E929,SRC015,PMMA microfluidic control,polymer,PMMA microfluidic device,untreated,untreated PMMA microfluidic device substrate,,smooth,,,,untreated PMMA microfluidic device substrate
SFC_95580B5C4364,SRC010,PTFE,polymer,,untreated,untreated PTFE control,,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_95A0FAE91CD0,SDX001,SG3/GO coated PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3/GO coated PMMA; PMMA laser/GO/CBD surface, Table 3",GO/CBD hybrid coating,rough_coated,2360.0,2840.0,,"SG3/GO coated PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_962FBAB11443,SDX009,M-Poly-Ph modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-Ph modified nonwoven PET membrane; surface porosity 54%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-Ph modified nonwoven PET membrane; surface porosity 54%; Table 3
SFC_96578C5761C3,SRC023,PC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_A2BE3F1765AE,SRC022,Ionene C10Br,polymer,,untreated,Ionene C10Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_A5B2B66974AE,SRC009,PEEK,polymer,,cleaning,IPA-cleaned PEEK control,,smooth,,,,IPA-cleaned PEEK control
SFC_A713C80D8A86,SRC023,PET,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_A716853C1624,SRC015,Air DBD plasma-treated PMMA,polymer,PMMA microfluidic device,plasma,PMMA treated by air dielectric-barrier-discharge plasma,,smooth,,,,PMMA treated by air dielectric-barrier-discharge plasma
SFC_ACA747208E92,SDX007,PHA film before composting,polymer,PHA,extruded_film_before_composting,PHA film before composting; month 0 before composting; Table 1/2,,smooth,,,,PHA film before composting; month 0 before composting; Table 1/2
SFC_AD93A15A2199,SDX010,smooth PIndole-5-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-5-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.3,8.1,,smooth PIndole-5-F4 film; smooth-film Table 4 roughness/contact angles
SFC_AEDDDB49C107,SDX006,CSDA/PG chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/PG chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/PG chitosan/dialdehyde film; Table 3
SFC_AFFB3785B9F0,SRC017,Colorful superamphiphobic coating,coating,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,coating,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_B0B8AD6AD8FD,SDX010,smooth PIndole film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.3,8.8,,smooth PIndole film; smooth-film Table 4 roughness/contact angles
SFC_B1C3F4195927,SRC023,Nylon66,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_B26BB3C57516,SRC010,PE,polymer,,plasma,"SDBD air plasma, 5 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_B8D818A15C77,SRC024,PS,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_B9F3779B4230,SDX010,smooth PIndole-6-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-6-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.8,9.5,,smooth PIndole-6-F6 film; smooth-film Table 4 roughness/contact angles
SFC_BD3224C101E4,SRC022,Ionene C5BF4,polymer,,untreated,Ionene C5BF4 synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_BF7DB4F8493A,SRC009,PEEK,polymer,,plasma,IPA cleaning + air plasma,,smooth,,,,IPA cleaning + air plasma
SFC_C256F7B116EE,SRC010,PE,polymer,,plasma,"SDBD air plasma, 30 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_C578D204BBE3,SDX006,CSDA/GM chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/GM chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/GM chitosan/dialdehyde film; Table 3
SFC_C657B6B2A8F2,SRC023,PP,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_CC13B5674B11,SRC024,PE,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_CD91556CDD43,SRC009,PEEK,polymer,,plasma,IPA cleaning + sand blasting + air plasma,,rough,,,,IPA cleaning + sand blasting + air plasma
SFC_D4A1459EC26C,SRC022,Ionene C5TFSI,polymer,,untreated,Ionene C5TFSI synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_D6B816FE09EC,SRC005,Polystyrene honeycomb surface,polymer,polystyrene,microstructure,polystyrene honeycomb structured surface,,rough,,,,polystyrene honeycomb structured surface
SFC_DB683EF7A2C1,SRC023,ABS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_DFFFBB02B458,SRC024,PTFE,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_E24B19E460DE,SRC023,PPS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_E38FF72DBA39,SRC013,RSC coated paper S2,coating,coated inkjet paper,coating,RSC coated paper S2 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_E5CA0C67969B,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 captive bubble method,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_E7FC3D2DD101,SDX010,smooth PIndole-4-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-4-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.6,9.5,,smooth PIndole-4-F6 film; smooth-film Table 4 roughness/contact angles
SFC_E805A27F910D,SRC023,FEP,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_EADE66E24084,SRC023,PB,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_EE615B6001A2,SRC010,PE,polymer,,plasma,"SDBD air plasma, 15 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_EEA5FB824E7A,SRC023,PSU,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_EF3937BBEA40,SRC023,Nylon6,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_F08E28324066,SRC023,EVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_F715B35B2C9F,SRC023,PVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_F7990EF3D076,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 5 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_F8664D03003D,SDX010,smooth PIndole-4-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-4-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,7.3,9.4,,smooth PIndole-4-F4 film; smooth-film Table 4 roughness/contact angles
SFC_F8843DC534D0,SRC005,Fluorosilane-treated polystyrene honeycomb surface,polymer,polystyrene,coating,polystyrene honeycomb structured surface following fluorosilane treatment,fluorosilane,rough,,,,polystyrene honeycomb structured surface following fluorosilane treatment
SFC_FA2839A92EC7,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 swollen sample,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_FA6603E349B6,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 30 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_FD37A16743B7,SRC015,Si-doped DLC-coated PMMA,polymer,PMMA microfluidic device,coating,silicon-doped diamond-like carbon coating on PMMA,,smooth,,,,silicon-doped diamond-like carbon coating on PMMA
SFC_FE6387F77D1C,SRC007,Nylon6,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_FE7D2709B140,SDX009,M-Poly-PyM modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-PyM modified nonwoven PET membrane; surface porosity 65%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-PyM modified nonwoven PET membrane; surface porosity 65%; Table 3
SFC_FF44FFDB2AC3,SDX007,PLA/Morin film before composting,polymer,PLA with morin,extruded_film_before_composting,PLA/Morin film before composting; month 0 before composting; Table 1/2,,smooth,,,,PLA/Morin film before composting; month 0 before composting; Table 1/2
SFC_6CC47C08CF64,OPEN_CROSS_MATERIAL_2026,TiO2 (polycrystalline film),other,,literature-described condition,"After UV illumination (λ < 380 nm, 1.1 mW cm⁻²).",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_FFEC58F1530E,OPEN_CROSS_MATERIAL_2026,TiO2 (with certain % SiO2),other,,literature-described condition,Film prepared with SiO2 acquires this property after UV illumination.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E543580D2581,OPEN_CROSS_MATERIAL_2026,Titania-coated glass / Plain glass,other,,literature-described condition,"After treatment with UV/ozone, immersion in aqua regia, or heating above 500 °C.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B031A7CFA524,OPEN_CROSS_MATERIAL_2026,"TiO₂ (anatase, UV treated)",other,,literature-described condition,Superhydrophilic after UV irradiation,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_88AD8E0824C4,OPEN_CROSS_MATERIAL_2026,"Iα (010), Iα (11̅0), Iβ (010), Iβ (110), Human-made cellulose II & III_I faces",other,,literature-described condition,Values determined via molecular dynamics simulation.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_3C19B5C5940C,OPEN_CROSS_MATERIAL_2026,PET film (plasma treated),other,,literature-described condition,"After plasma treatment at 20 kHz, CDA 0.6%, 7 repetitions",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_EF22972A391D,OPEN_CROSS_MATERIAL_2026,Iβ (11̅0) crystal face,other,,literature-described condition,Value determined via molecular dynamics simulation.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_DFAA6FA9D311,OPEN_CROSS_MATERIAL_2026,Iβ (100) crystal face,other,,literature-described condition,Value determined via molecular dynamics simulation.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_0E29DCF6B0F6,OPEN_CROSS_MATERIAL_2026,TiO2 nanotube surfaces,other,,literature-described condition,Increased hydrophilicity compared to non-anodized Ti (75.9°).,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_CCA852C05DD9,OPEN_CROSS_MATERIAL_2026,PMMA,other,,literature-described condition,Equilibrium/Young,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B11F05311C95,OPEN_CROSS_MATERIAL_2026,Iα (001) crystal face,other,,literature-described condition,Near the hydrophilic/hydrophobic boundary.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_276FB2540C6B,OPEN_CROSS_MATERIAL_2026,Anodized Ti (TiO₂ NTs),other,,literature-described condition,Hydrophilic surface after anodic oxidation,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_45F8C8F50DAD,OPEN_CROSS_MATERIAL_2026,PET (incipient alkaline hydrolysis),other,,literature-described condition,Predicted limiting advancing contact angle under specific NaOH treatment,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_C29649784C9E,OPEN_CROSS_MATERIAL_2026,Iron (Fe),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_76251AE8917C,OPEN_CROSS_MATERIAL_2026,Aluminum (polished),other,,literature-described condition,"Smooth metal, ambient",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_4B11F0C60536,OPEN_CROSS_MATERIAL_2026,Molybdenum (Mo),other,,literature-described condition,Used for validation of derived equation.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_8A5FD38D06DE,OPEN_CROSS_MATERIAL_2026,PMMA,other,,literature-described condition,"Sessile drop, surface energy probe liquid",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_8038D9A6A20A,OPEN_CROSS_MATERIAL_2026,PET film,other,,literature-described condition,Before atmospheric-pressure plasma treatment,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_9E83E4237A7D,OPEN_CROSS_MATERIAL_2026,Graphite (freshly exfoliated),other,,literature-described condition,Fresh exfoliation; experimental reference matched by modeling,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_127F69376811,OPEN_CROSS_MATERIAL_2026,Stainless steel (SS316L),other,,literature-described condition,"sessile drop, Value is stable across a temperature range of 25–80 °C",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B2B460B5E74C,OPEN_CROSS_MATERIAL_2026,Titanium (Ti),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_CB8C71D24418,OPEN_CROSS_MATERIAL_2026,"Silver (Ag, polished substrate)",other,,literature-described condition,Measured distilled water on freshly polished substrates,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_AFE29766ABB1,OPEN_CROSS_MATERIAL_2026,CeO2 (110),other,,literature-described condition,Orientation-dependent,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_84E420BFB264,OPEN_CROSS_MATERIAL_2026,Talc,other,,literature-described condition,Equilibrium/Young,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_A20F2DE2FF3E,OPEN_CROSS_MATERIAL_2026,Niobium (Nb),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E32E065C262B,OPEN_CROSS_MATERIAL_2026,PMMA,other,,literature-described condition,"100% acetic acid treatment + UV irradiation (234 nm, 30 s)",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E82B74C28497,OPEN_CROSS_MATERIAL_2026,Nickel (Ni),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_953A3ED1CCEC,OPEN_CROSS_MATERIAL_2026,Tungsten (W),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_A6484648C3AE,OPEN_CROSS_MATERIAL_2026,Mercury (Hg),other,,literature-described condition,"Liquid metal substrate, used for validation.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_F9572A899579,OPEN_CROSS_MATERIAL_2026,PET film (untreated),other,,literature-described condition,Initial contact angle before Ar⁺ irradiation,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_87885EEBDCD9,OPEN_CROSS_MATERIAL_2026,Tin (Sn),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_7FF8363F812D,OPEN_CROSS_MATERIAL_2026,PMMA,other,,literature-described condition,"Sessile drop 2 µL, 22 °C, surface energy probe",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_C4A57786C3BE,OPEN_CROSS_MATERIAL_2026,Silicon (Si),other,,literature-described condition,"Semi-metal, used for validation of derived equation.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
