record_status,source_group_id,source_title,original_table_location,surface_label,material,treatment,state,liquid,contact_angle_deg,contact_angle_type,std_deg,range_deg,reported_uncertainty_deg,uncertainty_type,replicate_n,measurement_method,droplet_volume,license,DOI,keep_reason,extraction_note
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'E-beam-irradiated diamond powder', liquid column 'diiodomethane'",E-beam-irradiated diamond powder,diamond powder (average particle size 1 um),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,80,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'E-beam-irradiated diamond powder', liquid column 'formamide'",E-beam-irradiated diamond powder,diamond powder (average particle size 1 um),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,formamide,80,capillary_rise_washburn_derived,,,3,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'E-beam-irradiated diamond powder', liquid column 'water'",E-beam-irradiated diamond powder,diamond powder (average particle size 1 um),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,water,84,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'As-prepared ZnO nanomaterial', liquid column '1-bromonaphthalene'",As-prepared ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,9,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'As-prepared ZnO nanomaterial', liquid column 'ethylene glycol'",As-prepared ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,63,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'As-prepared ZnO nanomaterial', liquid column 'diiodomethane'",As-prepared ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,66,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'As-prepared ZnO nanomaterial', liquid column 'formamide'",As-prepared ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,formamide,52,capillary_rise_washburn_derived,,,3,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'As-prepared ZnO nanomaterial', liquid column 'water'",As-prepared ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,water,60,capillary_rise_washburn_derived,,,4,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'UV-illuminated ZnO nanomaterial', liquid column '1-bromonaphthalene'",UV-illuminated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,8,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'UV-illuminated ZnO nanomaterial', liquid column 'ethylene glycol'",UV-illuminated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,14,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'UV-illuminated ZnO nanomaterial', liquid column 'diiodomethane'",UV-illuminated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,64,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'UV-illuminated ZnO nanomaterial', liquid column 'formamide'",UV-illuminated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,formamide,20,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'UV-illuminated ZnO nanomaterial', liquid column 'water'",UV-illuminated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,water,3,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'E-beam-irradiated ZnO nanomaterial', liquid column '1-bromonaphthalene'",E-beam-irradiated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,8,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'E-beam-irradiated ZnO nanomaterial', liquid column 'ethylene glycol'",E-beam-irradiated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,72,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'E-beam-irradiated ZnO nanomaterial', liquid column 'diiodomethane'",E-beam-irradiated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,70,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'E-beam-irradiated ZnO nanomaterial', liquid column 'formamide'",E-beam-irradiated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,formamide,73,capillary_rise_washburn_derived,,,3,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 3, row 'E-beam-irradiated ZnO nanomaterial', liquid column 'water'",E-beam-irradiated ZnO nanomaterial,ZnO powder (99.4% purity; average particle size 200 nm),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,water,85,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered CeO2', water theta_adv column",Sintered CeO2,CeO2,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,water,103,advancing,,,2,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered CeO2', ethylene glycol theta_adv column",Sintered CeO2,CeO2,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,ethylene glycol,78,advancing,,,2,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered CeO2', diiodomethane theta_adv column",Sintered CeO2,CeO2,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,diiodomethane,55,advancing,,,2,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered Pr6O11', water theta_adv column",Sintered Pr6O11,Pr6O11,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,water,102,advancing,,,3,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered Pr6O11', ethylene glycol theta_adv column",Sintered Pr6O11,Pr6O11,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,ethylene glycol,80,advancing,,,3,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
keep,SRC004,Hydrophobicity of Rare-Earth Oxide Ceramics,"Supplementary Table S2, row 'Sintered Pr6O11', diiodomethane theta_adv column",Sintered Pr6O11,Pr6O11,sintered pellet; mirror polished to 0.03 um before measurement,polished sintered ceramic; cleaned and vacuum-desiccated,diiodomethane,64,advancing,,,4,reported_plus_minus_type_not_defined,,"Rame-Hart M500 advanced goniometer; sintered pellets polished to a mirror finish down to 0.03 um alumina, solvent/water cleaned, and vacuum-desiccated.",not reported,Copyright 2013 Macmillan Publishers Limited. All rights reserved.,10.1038/NMAT3545,keep_primary_supplementary_table_value,Table S2 labels theta_adv. The separate water contact-angle-hysteresis column was intentionally not imported as a contact-angle target.
